nom,type,date_construction,siecle,pays,lat_dms,long_dms,Lat,Long
Almourol,Château,1171,12,Portugal,"39,2743","8,2302",39.4619444,-8.38388861111111
Trim,Château,1172,12,Irlande,"53,33","6,474",53.55,-6.7844444444444445
Fougères (Bretagne),Château,1173,12,France,"48,2113","1,1234",48.3536111,-1.2094444444444443
Landshut,Château,1175,12,Suisse,"47,0814","7,3255",47.1372222,7.548611111111111
Provins,Forteresse,1200,12,France,"48,3337","3,1756",48.5602778,3.298888888888889
Remparts de Binche,Remparts,1200,12,Belgique,"50,25","4,1",50.4166667,4.016666666666667
Gand,Château,1180,12,Belgique,51.03,3.44,51.05,3.7333333333333334
Thoune,Château,1180,12,Suisse,46.4536,7.3747,46.76,7.629722222222223
Sighi?oara,Citadelle,1180,12,Roumanie,46.4536,24.4732,46.77,24.792222222222225
La Muela,Château,1183,12,Espagne,39.2710,3.3628,39.4527778,-3.6077777777777778
Sverresborg (Bergen),Forteresse,1185,12,Norvège,60.2402,5.1904,60.4005556,5.317777777777778
Tsarevets,Forteresse,1185,12,Bulgarie,43.0500,25.3910,43.0833333,25.652777777777775
Trapezitsa,Forteresse,1185,12,Bulgarie,43.0500,25.3810,43.0833333,25.63611111111111
Le Louvre,Forteresse,1190,12,France,48.5140,2.2009,48.8611111,2.3358333333333334
Kyrenia,Château,1191,12,Chypre,35.2025,33.1909,35.3402778,33.31916666666667
Frankopan,Château,1191,12,Croatie,45.0133,14.3435,45.0258333,14.57638888888889
Greben,Forteresse,1192,12,Bosnie,44.4015,17.0934,44.6708333,17.159444444444443
Borgholm,Château,1195,12,Suède,56.5314,16.3836,56.8872222,16.643333333333334
Gaillard,Château,1197,12,France,49.1417,1.2410,49.2380556,1.4027777777777777
Château d'Aigle,Château,1200,12,Suisse,46.1854,6.5832,46.315,6.975555555555555
Suscinio,Château,1200,12,France,47.3046,2.4346,47.5127778,-2.729444444444445
Caetani,Château,1200,12,Italie,41.3300,12.5900,41.55,12.983333333333333
Scharfenberg,Château,1200,12,Allemagne,51.0730,13.3141,51.125,13.528055555555556
Burg Birseck,Château,1200,12,Suisse,47.2931,7.3743,47.4919444,7.628611111111112
Steen (Anvers),Château,1200,12,Belgique,51.1322,4.2351,51.2227778,4.397500000000001
Kilkenny,Château,1207,13,Irlande,52.3901,7.1457,52.6502778,7.2491666666666665
Hochosterwitz,Château,1209,13,Autriche,46.4518,14.2713,46.755,14.45361111111111
Kolossi,Forteresse,1210,13,Chypre,34.4000,32.5600,34.6666667,32.93333333333333
Berthoud,Château,1210,13,Suisse,47.0317,7.3745,47.0547222,7.629166666666667
Bran,Château,1211,13,Roumanie,45.3054,25.2202,45.515,25.36722222222222
Angers,Château,1214,13,France,47.28123,0.33356,47.47,-0.5597222222222222
Turaida,Château,1214,13,Lettonie,57.1112,24.5029,57.1866667,24.841388888888886
Calavatra,Château,1217,13,Espagne,38.3959,3.5043,38.6663889,-3.845277777777778
Tsepina,Forteresse,1220,13,Bulgarie,42.0343,24.0643,42.0619444,24.111944444444447
Viljandi,Château,1224,13,Estonie,58.2133,25.3542,58.3591667,25.595
Toompea,Château,1227,13,Estonie,59.2608,24.4414,59.4355556,24.737222222222222
Tintagel,Château,1233,13,Grande-Bretagne,50.4001,4.4534,50.6669444,-4.759444444444444
Kwidzyn,Château,1233,13,Pologne,53.4410,18.5516,53.7361111,18.921111111111113
Zvíkov,Château,1234,13,République tchèque,49.2620,14.1133,49.4388889,14.1925
Mileševac,Forteresse,1235,13,Serbie,43.2146,19.4347,43.3627778,19.72972222222222
Koporie,Château,1240,13,Russie,59.4232,29.0202,59.7088889,29.03388888888889
Monte,Château,1240,13,Italie,41.0503,16.1617,41.0841667,16.27138888888889
Bergenhus,Forteresse,1240,13,Norvège,60.2402,5.1904,60.4005556,5.317777777777778
Lietava,Château,1241,13,Slovaquie,49.0936,18.4106,49.16,18.685
Czocha,Château,1245,13,Pologne,51.0150,15.1813,51.0305556,15.303611111111111
Kostel,Château,1247,13,Slovénie,45.3031,14.5436,45.5086111,14.91
Mystra,Forteresse,1249,13,Grèce,37.0450,22.2200,37.0805556,22.366666666666667
Hermann,Forteresse,1250,13,Danemark,59.2233,28.1207,59.3758333,28.201944444444443
Paphos,Forteresse,1250,13,Chypre,34.4513,32.2435,34.7536111,32.40972222222222
