nom,lieu_actuel,date,pays,adresse,lat,long
Hélie Denoix de Saint Marc,Bordeaux,1922,France,"Bordeaux, France",44.837789,-0.57918
Michel Déon,Paris,1919,France,"Paris , France",48.856614,2.3522219
Slobodan Despot,Sremska Mitrovica,1967,Serbie,"Sremska Mitrovica, Serbie",44.979777,19.6102033
Jacques Dewitte,Schaerbeek,1946,Belgique,"Schaerbeek, Belgique",50.8674164,4.3772981
Philip K. Dick,Chicago,1928,USA,"Chicago , USA",41.8781136,-87.6297982
Alexandre Douguine,Moscou,1962,Russie,"Moscou, Russie",55.755826,37.6172999
Pierre Drieu la Rochelle,Paris 10,1893,France,"Paris 10, France",48.8785238,2.3541085
Georges Dumézil,Paris 12,1898,France,"Paris 12 , France",48.835194,2.4351431
Robert Dun,Marseille,1920,France,"Marseille, France",43.296482,5.36978
Mircea Eliade,Bucarest,1907,Roumanie,"Bucarest , Roumanie",44.4267674,26.1025384
Empédocle,Agrigente,-494,Italie,"Agrigente, Italie",37.3088512,13.5857528
Eschyle,Éleusis,-525,Grèce,"Éleusis , Grèce",38.0412749,23.5418125
Julius Evola,Rome,1898,Italie,"Rome , Italie",41.9027835,12.4963655
Frédéric H. Fajardie,Paris,1947,France,"Paris, France",48.856614,2.3522219
Guillaume Faye,Angoulême,1949,France,"Angoulême , France",45.648377,0.1562369
Robert Flacelière,Paris 5,1904,France,"Paris 5, France",48.840813,2.3519279
Gustave Flaubert,Rouen,1821,France,"Rouen, France",49.44323199999999,1.099971
Walter Flex,Eisenach,1887,Allemagne,"Eisenach , Allemagne",50.9795715,10.3146872
Jean-Louis Foncine,Homécourt,1912,France,"Homécourt , France",49.225282,5.99159
Julien Freund,Henridorff,1921,France,"Henridorff , France",48.733342,7.214713000000001
Max Frisch,Zurich,1911,Suisse,"Zurich , Suisse",47.3768866,8.541694
Marc Fumaroli,Marseille,1932,France,"Marseille , France",43.296482,5.36978
Frantz Funck-Brentano,Munsbach,1862,Luxembourg,"Munsbach , Luxembourg",49.6331855,6.2669691
